feature,mean_absolute_raw_score_contribution
amount0_next_active_global_minimum__min,0.0038724816388444362
amount0_refund_last_age__max,0.003868362267444847
client_currency_usd__max,0.0036937763511799915
amount0_own_semantic__mean,0.0036502400073586466
amount1_own_template_diversity__min,0.003624112932707052
client_mcc_6012__max,0.0034990650378910497
amount0_amount_cv_rank__max,0.0034989408916427612
client_currency_chf__max,0.0033228826911985095
broad0_gap_mean__min,0.003274177670779567
broad0_count_180__mean,0.0032403609687261144
client_mcc_4111__max,0.003218391501422052
broad0_gap_last__mean,0.0031421054551761334
broad0_description_top_fraction__min,0.003086083317470585
amount1_gap_cv__max,0.003031545018425651
broad0_amount_cv__max,0.0029372843137364835
amount0_own_semantic__min,0.002923725256406049
client_mcc_5734__max,0.0028559718806493014
broad0_count_90__max,0.002829212368010364
client_type_transfer__max,0.0028074035574072198
amount1_own_mcc_per_event__max,0.0027979715903136315
broad0_last_age__mean,0.0027847096664592704
client_amount_std__max,0.0027728337282781116
client_direction_out__max,0.002733887279239094
broad0_own_mcc_per_event__mean,0.00269334054212825
amount1_amount_median__max,0.0025715188582182565
broad0_period_rounded__min,0.0025679114058888134
client_count_60__max,0.002532730433915033
amount1_own_semantic__min,0.0025138003400938962
client_type_topup__max,0.0024726644284861128
broad0_count_rank__mean,0.002469961870616803
amount0_amount_cv_global_minimum__min,0.002455815202877643
broad0_own_template_count_per_event__mean,0.002443507403037211
client_count_180__max,0.0024104285441668987
client_type_p2p_transfer__max,0.0023309839632903676
broad0_linear_residual__max,0.0023220837642183153
broad0_linear_next__min,0.0023148120796534144
amount0_own_semantic_per_event__max,0.002244868440291491
amount1_span__min,0.002241083261825516
broad0_gap_last__max,0.002195492026347741
broad0_next_recent__max,0.0021753983631748294
client_last_age__max,0.002164609040698281
broad0_refund_count30__mean,0.002119627293413265
broad0_active_rank__max,0.0021044282032072984
broad0_next_active_global_mean__min,0.00204512613186214
broad0_gap_cv__min,0.002043712681430542
broad0_own_template_count__mean,0.0020403036561636115
amount1_own_mcc_per_event__mean,0.002029072560043698
client_mcc_5411__max,0.0020032127453476394
broad0_next_recent__min,0.0019841048667056382
stream_count__mean,0.001983791571432157
broad0_gap_mad__min,0.0019525221795225554
amount1_gap_last__min,0.0018845063767365003
amount1_description_top_fraction__mean,0.0018601331729391519
amount1_next_recent__mean,0.0018341051900911854
client_type_atm__max,0.0018259093914484276
amount1_generic_fraction__min,0.0017955381104867371
broad0_next_median__min,0.0017636427893293748
broad0_gap_median__mean,0.001734205161414802
broad0_next_active_global_minimum__min,0.0017269275912660885
broad0_gap_std__max,0.0016997863574337937
amount0_refund_count30__mean,0.0016891454176545518
client_mcc_5812__max,0.0016823687873876575
amount0_count_global_maximum__min,0.0016527074856665315
amount0_count_90__mean,0.001640318663530771
amount0_count_rank__max,0.001632817252874455
client_count_30__max,0.0016173660615062934
broad0_next_median__mean,0.001610337084240785
amount1_amount_median__mean,0.001610303285614886
broad0_period_rounded__mean,0.0016051187222396296
client_mcc_7011__max,0.0016020367483781724
broad0_fee_mean__min,0.0015711862056354334
amount0_count_90__max,0.0015684212092415693
broad0_next_median__max,0.0015225070510075077
client_mcc_6300__max,0.0015142311795046932
amount0_fee_fraction__min,0.0014025952811365723
amount1_gap_mad__min,0.0013131680644584635
client_count_90__max,0.0012696346075254756
client_mcc_7997__max,0.0012374824071965916
broad0_count_60__mean,0.0012364990188426783
amount0_next_active_rank__mean,0.00118853475377502
amount1_linear_period__max,0.0011687453290883348
client_total_count__max,0.001167153569513454
amount0_count_global_mean__min,0.0011437437888739146
amount0_own_semantic_global_mean__min,0.0011344973319431738
amount0_active_rank__mean,0.0010944626954955791
broad0_refund_after_last__mean,0.0010902693011436977
broad0_linear_residual__min,0.0010760410753437551
amount0_last_age_global_minimum__min,0.0010752872231245278
amount0_refund_after_last__mean,0.0010716687890993258
broad0_count_180__min,0.00103632476492709
broad0_fee_fraction__min,0.0009941683228619509
broad0_count_60__min,0.0009891722469402254
client_type_fee__max,0.0009605576562599676
amount1_own_template_count__mean,0.000954946260073068
client_mcc_5732__max,0.0009490125706834468
broad0_count_90__min,0.0009400564744728843
amount1_linear_residual__mean,0.0009155139106540132
broad0_gap_mean__mean,0.0009151399517372726
client_mcc_5912__max,0.0008994054455625188
amount0_next_active_global_minimum__max,0.0008764193088730526
broad0_own_template_count__max,0.0008587027743964884
broad0_count_global_maximum__min,0.0008554832695593448
amount1_own_mcc__mean,0.0008544307146492409
broad0_own_mcc__min,0.0008442128276135999
broad0_gap_mean__max,0.0008351707580864284
broad0_own_template_count_per_event__max,0.0008222844594940959
amount1_linear_next__max,0.0007874553992751358
amount1_gap_median__min,0.0007680721986520024
amount1_last_age__min,0.0007628454880932057
amount1_gap_median__max,0.0007281030898111916
amount0_last_age_rank__max,0.0006858772802564086
broad0_own_mcc_per_event__max,0.0006842806171371094
broad0_own_mcc__mean,0.0006257080840103732
broad0_gap_cv__mean,0.0006166048730759691
client_type_topup__mean,0.0006037722843116258
amount1_gap_mad__max,0.0005828019786251195
amount1_own_semantic_per_event__mean,0.0005779509880114012
amount1_gap_recent__max,0.0005594037650351573
amount1_amount_cv__mean,0.0005381937925142164
broad0_gap_std__min,0.0005197618810502396
amount0_generic_fraction__mean,0.0005029314909164194
broad0_period_rounded__max,0.0005011919213312636
amount0_own_template_count__mean,0.0004851704374785105
amount1_next_active__min,0.00047465942483104014
broad0_count_rank__max,0.00047166719404883575
client_type_atm__mean,0.00046702368215225743
amount0_last_age_rank__mean,0.00045935052393310976
amount0_last_fee__max,0.0004584686422464174
amount1_gap_std__max,0.00042169864703060013
amount0_own_mcc__max,0.00041177789461165624
amount0_own_semantic_rank__max,0.0003937875565085609
amount1_amount_change__max,0.00039136006560560737
amount1_overdue_ratio__min,0.00039102371790660417
amount1_gap_mad__mean,0.00037955308076355966
broad0_refund_count__min,0.0003587693435325714
amount0_count_30__min,0.0003531316791103891
broad0_linear_period__max,0.00034941647723854975
client_last_age__mean,0.00034753493607303114
amount1_linear_residual__min,0.000338897912497849
amount1_own_semantic_per_event__max,0.0003224895994131717
broad0_count_30__min,0.0003004178228106437
client_mcc_7997__mean,0.00026352696188874464
broad0_generic_fraction__min,0.0002618477359215575
broad0_gap_recent__max,0.0002583762049873105
client_currency_eur__mean,0.0002504942340591619
amount1_gap_last__mean,0.0002481158704194697
client_amount_mean__mean,0.00024605862461011066
client_direction_in__mean,0.00024507137574688914
amount1_own_template_diversity_per_event__max,0.00023707527743572088
client_type_refund__mean,0.0002331566011995623
amount0_own_semantic_global_maximum__min,0.00022769995373901007
client_mcc_4814__max,0.0002209485498267539
amount1_gap_cv__min,0.00021569565198889946
client_mcc_6012__mean,0.00020979236769183004
broad0_own_mcc__max,0.0002024989665684891
amount1_linear_period__mean,0.00019630311851665943
amount1_own_template_count_per_event__max,0.00018893510849153048
client_first_age__mean,0.0001865833712276256
amount1_gap_last__max,0.00018124989082135955
broad0_refund_count30__max,0.0001790390974625
amount1_gap_recent__mean,0.0001509732753452302
client_mcc_7011__mean,0.00014524788396359133
amount0_count_rank__mean,0.0001436021413487064
amount1_own_mcc__max,0.00012667242335401453
stream_count__max,0.00011728766234807011
client_type_transfer__mean,0.00011561730084304366
amount1_next_median__max,0.00011538466573023359
client_total_count__mean,9.589649952568167e-05
broad0_linear_period__mean,8.92518586548244e-05
amount1_own_template_diversity__max,8.421991951597873e-05
amount1_next_active__mean,8.031494327561089e-05
amount1_other_semantic__mean,0.0
amount1_count_60__min,0.0
amount1_count_30__mean,0.0
amount1_count_90__min,0.0
amount1_count_60__max,0.0
amount1_count_90__mean,0.0
amount0_amount_cv_global_maximum__max,0.0
amount0_amount_cv_global_maximum__mean,0.0
amount1_count_60__mean,0.0
amount0_amount_cv_global_mean__max,0.0
amount0_amount_cv_global_mean__mean,0.0
amount0_amount_cv_rank__mean,0.0
amount0_amount_cv_rank__min,0.0
amount0_own_semantic_global_minimum__min,0.0
amount0_own_semantic_global_minimum__max,0.0
amount0_own_semantic_global_minimum__mean,0.0
amount1_count_90__max,0.0
amount0_own_semantic_global_maximum__mean,0.0
amount0_own_semantic_global_mean__max,0.0
amount0_own_semantic_global_mean__mean,0.0
amount0_own_semantic_rank__min,0.0
amount0_own_semantic_rank__mean,0.0
broad0_active_global_minimum__min,0.0
broad0_active_global_minimum__max,0.0
broad0_active_global_minimum__mean,0.0
broad0_active_global_maximum__min,0.0
broad0_active_global_maximum__max,0.0
broad0_active_global_maximum__mean,0.0
